# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object203   11.03867   -6.04518   14.791   14.44    14.429   17.776   16.549   16.066   15.893   15.826  
  object204   13.54038   -8.07726   13.909   13.22    13.018   19.75    17.215   15.935   15.345   14.972  
  object205   12.0562    -7.32594   999       999       999       999       999       999       999       999      
  object206   11.35758   -7.01079   15.186   14.637   14.459   19.348   17.417   16.646   16.263   16.007  
  object207   12.58684   -6.58039   999       999       999       999       999       999       999       999      
  object208   13.86493   -6.32431   15.116   14.645   14.731   18.325   17.048   16.456   16.242   16.172  
  object209   14.9218    -8.21328   12.208   11.744   11.586   16.361   14.6     13.825   14.105   13.338  
  object210   14.5977    -8.02497   13.056   12.361   12.211   18.932   16.42    15.209   14.595   14.238  
  object211   16.75856   -7.87184   999       999       999       999       999       999       999       999      
  object212   14.35208   -7.34758   11.75    11.278   11.152   16.006   15.058   13.442   13.113   13.226  
  object213   14.84713   -7.206     14.618   14.196   14.019   17.879   16.599   16.033   15.793   15.674  
  object214   15.73645   -6.99677   14.167   13.548   13.217   21.656   19.366   17.831   16.371   15.576  
  object215   15.29326   -6.95461   15.022   14.499   14.467   18.172   16.687   16.111   15.86    15.756  
  object216   14.2198    -5.67264   14.672   14.196   14.151   17.641   16.367   15.835   15.618   15.523  
  object217   14.8113    -5.6845    14.788   14.371   14.24    18.046   16.613   16.023   15.805   15.723  
  object218   19.16399   -7.97552   12.635   12.062   11.892   17.154   15.224   14.338   14.043   13.832  
  object219   19.32618   -7.83602   13.394   12.876   12.758   17.358   15.542   14.727   14.467   14.335  
  object220   17.06031   -7.40344   15.093   14.738   14.616   18.933   17.422   16.836   16.608   16.465  
  object221   17.98866   -7.33257   16.796   16.202   16.486   19.522   18.423   18.006   17.861   17.786  
  object222   17.33032   -7.32816   16.062   15.362   15.19    20.046   18.392   17.609   17.275   17.075  
  object223   19.0492    -6.99354   11.241   10.924   10.804   15.523   13.692   12.892   12.678   13.614  
  object224   19.78344   -6.30241   11.635   11.347   11.296   15.073   15.197   13.194   13.069   13.142  
  object225   19.63687   -5.98166   13.133   12.567   12.471   17.088   15.319   14.5     14.594   13.934  
  object226   20.15009   -7.87774   14.111   13.567   13.455   17.941   16.317   15.592   15.269   15.074  
  object227   21.6084    -7.83278   14.864   14.762   14.67    16.909   15.787   15.558   15.525   15.554  
  object228   22.45573   -7.82369   14.087   13.491   13.416   18.737   16.7     15.808   15.425   15.182  
  object229   21.20589   -7.66817   11.554   10.971   10.726   16.982   15.065   13.646   13.134   12.955  
  object230   22.34677   -7.25272   14.375   13.907   13.765   18.111   16.305   15.561   15.251   15.098  
  object231   22.123     -6.75156   12.656   12.273   12.09    16.494   15.017   14.323   14.037   13.8    
  object232   20.20357   -6.58209   16.018   15.798   15.259   18.517   17.463   17.088   16.93    16.854  
  object233   21.87475   -6.27796   13.664   13.12    13.062   18.021   16.087   15.259   14.907   14.602  
  object234   21.39231   -6.04033   14.038   13.809   13.701   16.255   15.112   14.88    14.815   14.833  
  object235   19.85763   -5.70998   999       999       999       999       999       999       999       999      
  object236   19.85446   -5.82499   14.241   13.564   13.471   20.331   17.842   16.521   15.837   15.438  
  object237   24.25196   -8.20801   14.166   13.993   13.893   16.281   15.223   14.967   14.916   14.931  
  object238   24.61479   -8.11218   13.509   13.267   13.142   15.818   14.646   14.311   14.22    14.219  
  object239   23.5681    -7.41049   11.142   10.804   10.715   15.054   15.416   13.216   12.901   14.168  
  object240   23.48573   -7.40111   14.344   13.62    13.397   20.829   18.327   17.016   16.255   15.743  
  object241   23.31984   -6.83519   999       999       999       999       999       999       999       999      
  object242   27.23336   -7.20113   999       999       999       999       999       999       999       999      
  object243   30.9757    -8.43244   14.685   14.258   14.083   18.233   16.661   16.04    15.806   15.704  
  object244   28.52237   -7.59873   13.333   12.971   12.89    16.229   14.991   14.532   14.339   14.266  
  object245   28.49282   -7.56798   14.68    14.127   13.959   20.093   17.754   16.691   16.23    15.984  
  object246   31.14276   -7.58139   11.79    11.33    11.255   15.257   13.691   12.759   12.64    13.275  
  object247   29.66863   -5.75168   14.131   13.6     13.472   18.356   16.198   15.263   14.928   14.754  
  object248   31.29524   -7.5449    12.142   11.932   11.845   14.83    13.309   12.775   12.75    13.459  
  object249   32.80738   -7.40642   13.852   13.294   13.223   18.435   16.364   15.471   15.116   14.945  
  object250   32.15689   -6.38778   999       999       999       999       999       999       999       999      
  object251   32.66537   -6.26829   13.152   12.605   12.507   16.533   14.721   14.015   14.051   13.595  
  object252   36.14313   -8.29862   14.881   14.506   14.442   17.673   16.337   15.875   15.732   15.657  
  object253   36.65074   -7.83489   14.844   14.606   14.618   16.875   15.824   15.476   15.382   15.365  
  object254   35.23423   -7.607     13.827   13.498   13.374   16.01    14.934   14.533   14.498   14.378  
  object255   34.62339   -6.48655   14.895   14.765   14.509   16.952   15.866   15.646   15.63    15.685  
  object256   35.72119   -6.10301   12.486   11.915   11.795   17.52    15.324   14.295   14.209   13.757  
  object257   35.84379   -5.84516   13.803   13.176   12.996   20.347   17.853   16.416   15.689   15.189  
  object258   34.3527    -5.64979   14.001   13.709   13.65    16.353   15.234   14.863   14.723   14.69   
  object259   37.81511   -7.28615   13.232   12.816   12.777   16.483   14.957   14.359   14.133   14.031  
  object260   39.36109   -6.84914   13.33    13.046   12.981   15.906   14.696   14.268   14.137   14.122  
  object261   37.44118   -6.61812   14.769   14.12    13.897   22.265   19.559   18.097   16.812   16.117  
  object262   37.26284   -6.55177   16.693   16.659   15.917   19.815   18.555   18.038   17.853   17.78   
  object263   39.11306   -6.33905   14.443   14.012   13.86    17.871   16.411   15.77    15.529   15.413  
  object264   39.31841   -6.19536   15.504   15.247   14.77    17.874   16.793   16.48    16.362   16.342  
  object265   38.01243   -5.95806   13.609   12.993   12.848   18.906   16.694   15.769   15.336   15.058  
  object266   38.06661   -5.91437   11.179   10.893   10.794   14.798   12.869   12.298   12.128   12.958  
  object267   37.42338   -5.78751   12.091   11.86    11.763   15.51    13.425   12.887   12.844   14.338  
  object268   42.42876   -8.11193   13.756   13.159   13.014   19.146   16.717   15.626   15.183   14.9    
  object269   41.79158   -7.06759   15.55    15.423   15.344   17.525   16.497   16.354   16.315   16.323  
  object270   40.02547   -5.94321   11.15    10.818   10.715   15.544   13.293   12.629   12.448   13.517  
  object271   45.58379   -8.42821   15.452   15.051   14.876   18.456   17.125   16.51    16.293   16.209  
  object272   47.7494    -7.73834   13.882   13.581   13.469   15.911   14.808   14.501   14.398   14.394  
  object273   45.37242   -6.96829   14.036   13.552   13.481   17.269   15.815   15.182   14.949   14.828  
  object274   47.48411   -6.90985   16.149   15.589   15.236   21.647   19.386   18.339   17.82    17.52   
  object275   45.65861   -6.84288   14.244   13.693   13.357   21.702   19.284   17.869   16.426   15.607  
  object276   46.04096   -6.8308    12.636   12.049   11.855   18.024   15.616   14.557   14.121   13.858  
  object277   47.3049    -6.67463   15.355   14.767   14.652   19.622   17.842   17.039   16.668   16.449  
  object278   47.55281   -6.17474   12.779   12.095   11.881   19.491   16.995   15.489   14.527   14.0    
  object279   46.77656   -6.09386   15.23    14.501   14.327   999       999       999       999       999      
  object280   50.85722   -8.10211   16.464   15.681   15.473   21.546   19.42    18.415   17.99    17.674  
  object281   49.15093   -7.80818   12.001   11.562   11.457   15.345   14.146   13.364   14.613   13.091  
  object282   48.21656   -7.73897   10.83    10.545   10.484   14.903   12.84    12.342   14.674   12.78   
  object283   49.04283   -6.72454   15.566   15.045   14.678   21.096   18.826   17.657   17.133   16.832  
  object284   50.41645   -6.63995   13.663   13.049   12.952   18.521   16.349   15.338   14.952   14.719  
  object285   48.68029   -6.38224   11.53    11.047   10.95    15.696   14.355   13.302   13.041   13.046  
  object286   49.6505    -5.70515   15.792   15.353   15.06    999       999       999       999       999      
